Stamm-Nr.,Rez.-Nr.,R-Nummer,ERP-Nr.,Name,Totalmenge,CAS-Nr.: - Hinweis 1,Sensorik_1,Sensorik_2,Sensorik_3,Sensorik_4,Odour Type 1 FlavourWheel,Odour Type 2 Flavour Wheel,Odour Type 3 Flavour Wheel,Threshold ppm (Datenbank),Threshold 2 ppm (Datenbank),Treshold 3 ppm (Datenbank),,
29201733,187.657P,R01949,60030406,"Hexanol, natürlich Kosher Halal",0.0047800000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29201874,187.787P,R01949,60030406,"Hexanol, natürlich Kosher Halal",0.0009750000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29201969,187.894P,R01949,60030406,"Hexanol, natürlich Kosher Halal",0.0044640000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29202513,188.412P,R01949,60030406,"Hexanol, natürlich Kosher Halal",0.0037640000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29201231,185.507P,R02068,60030504,"2-Undecanon, natürlich Halal",0.0000120000,112-12-9,fruity,waxy,creamy,fatty,unpleasant,fruity,fresh,"0,05",,,,
29202513,188.412P,R02124,60030532,"Octylacetat, natürlich Halal",0.0000700000,112-14-1,floral,green,earthy,mushroom,floral,green,unpleasant,"0,1",,,,
29201008,185.090P,R01478,60030023,2-Methylbutterysäure Halal Kosher,0.0008550000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29200042,185.237H,R01478,60030023,2-Methylbutterysäure Halal Kosher,0.0138920000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29200034,185.294,R01478,60030023,2-Methylbutterysäure Halal Kosher,0.0080270000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29200048,185.309P,R01478,60030023,2-Methylbutterysäure Halal Kosher,0.0015870000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
